date,temperature,humidity,luminosity
2022-11-17 15:38:59.675,25.4,34.5,268
2022-11-17 15:38:56.632,25.4,34.5,267
2022-11-17 15:38:53.588,25.4,34.4,270
2022-11-17 15:38:50.544,25.4,34.3,270
2022-11-17 15:38:47.502,25.4,34.3,270
2022-11-17 15:38:44.458,25.4,34.3,271
2022-11-17 15:38:41.415,25.4,34.3,268
2022-11-17 15:38:38.371,25.4,34.4,269
2022-11-17 15:38:35.328,25.4,34.3,269
2022-11-17 15:38:32.285,25.4,34.4,270
2022-11-17 15:38:29.241,25.4,34.4,269
2022-11-17 15:38:26.198,25.4,34.4,269
2022-11-17 15:38:23.154,25.4,34.4,271
2022-11-17 15:38:20.112,25.4,34.4,271
2022-11-17 15:38:17.067,25.4,34.5,271
2022-11-17 15:38:14.025,25.4,34.4,271
2022-11-17 15:38:10.981,25.4,34.3,269
2022-11-17 15:38:07.938,25.4,34.2,268
2022-11-17 15:38:04.895,25.4,34.3,271
2022-11-17 15:38:01.852,25.4,34.1,270
2022-11-17 15:37:58.809,25.4,34.2,271
2022-11-17 15:37:55.765,25.4,34.1,271
2022-11-17 15:37:52.722,25.4,34.1,271
2022-11-17 15:37:49.679,25.4,34.0,271
2022-11-17 15:37:46.636,25.4,34.2,267
2022-11-17 15:37:43.593,25.4,34.2,268
2022-11-17 15:37:40.549,25.4,34.2,269
2022-11-17 15:37:37.505,25.4,34.3,272
2022-11-17 15:37:34.461,25.5,34.4,272
2022-11-17 15:37:31.418,25.4,34.4,270
2022-11-17 15:37:28.376,25.4,34.4,270
2022-11-17 15:37:25.333,25.4,34.4,271
2022-11-17 15:37:22.289,25.4,34.4,271
2022-11-17 15:37:19.247,25.4,34.5,268
2022-11-17 15:37:16.203,25.5,34.5,267
2022-11-17 15:37:13.160,25.4,34.5,268
2022-11-17 15:37:10.116,25.4,34.5,269
2022-11-17 15:37:07.072,25.4,34.5,270
2022-11-17 15:37:04.028,25.4,34.3,269
2022-11-17 15:37:00.985,25.5,34.4,269
2022-11-17 15:36:57.941,25.4,34.3,270
2022-11-17 15:36:54.899,25.4,34.3,271
2022-11-17 15:36:51.856,25.4,34.3,271
2022-11-17 15:36:48.813,25.4,34.3,271
2022-11-17 15:36:45.769,25.4,34.3,271
2022-11-17 15:36:42.725,25.4,34.3,271
2022-11-17 15:36:39.683,25.4,34.4,271
2022-11-17 15:36:36.640,25.4,34.4,270
2022-11-17 15:36:33.596,25.4,34.4,270
2022-11-17 15:36:30.552,25.4,34.4,267
2022-11-17 15:36:27.508,25.4,34.4,269
2022-11-17 15:36:24.464,25.4,34.3,270
2022-11-17 15:36:21.422,25.4,34.2,270
2022-11-17 15:36:18.378,25.4,34.2,269
2022-11-17 15:36:15.334,25.4,34.2,268
2022-11-17 15:36:12.290,25.5,34.2,269
2022-11-17 15:36:09.247,25.5,34.3,269
2022-11-17 15:36:06.203,25.4,34.2,268
2022-11-17 15:36:03.160,25.4,34.1,269
2022-11-17 15:36:00.117,25.4,34.2,269
2022-11-17 15:35:57.074,25.5,34.2,269
2022-11-17 15:35:54.030,25.5,34.1,267
2022-11-17 15:35:50.988,25.5,34.1,269
2022-11-17 15:35:47.944,25.4,34.1,267
2022-11-17 15:35:44.900,25.5,34.1,269
2022-11-17 15:35:41.858,25.5,34.2,269
2022-11-17 15:35:38.814,25.4,34.2,268
2022-11-17 15:35:35.770,25.4,34.1,270
2022-11-17 15:35:32.727,25.4,34.2,268
2022-11-17 15:35:29.683,25.4,34.1,267
2022-11-17 15:35:26.640,25.4,34.1,269
2022-11-17 15:35:23.596,25.4,34.3,269
2022-11-17 15:35:20.552,25.4,34.2,269
2022-11-17 15:35:17.509,25.4,34.4,270
2022-11-17 15:35:14.465,25.4,34.4,268
2022-11-17 15:35:11.422,25.4,34.4,270
2022-11-17 15:35:08.378,25.4,34.4,271
2022-11-17 15:35:05.334,25.4,34.4,270
2022-11-17 15:35:02.290,25.4,34.3,270
2022-11-17 15:34:59.248,25.3,34.4,269
2022-11-17 15:34:56.206,25.3,34.4,270
2022-11-17 15:34:53.162,25.4,34.4,271
2022-11-17 15:34:50.117,25.3,34.5,271
2022-11-17 15:34:47.075,25.3,34.4,272
2022-11-17 15:34:44.032,25.4,34.4,271
2022-11-17 15:34:40.989,25.4,34.4,271
2022-11-17 15:34:37.947,25.3,34.4,271
2022-11-17 15:34:34.904,25.4,34.3,271
2022-11-17 15:34:31.862,25.4,34.3,270
2022-11-17 15:34:28.819,25.3,34.3,267
2022-11-17 15:34:25.775,25.4,34.3,269
2022-11-17 15:34:22.733,25.4,34.3,268
2022-11-17 15:34:19.690,25.4,34.3,268
2022-11-17 15:34:16.646,25.3,34.3,270
2022-11-17 15:34:13.602,25.4,34.3,270
2022-11-17 15:34:10.559,25.3,34.3,269
2022-11-17 15:34:07.515,25.4,34.3,269
2022-11-17 15:34:04.473,25.3,34.3,269
2022-11-17 15:34:01.428,25.3,34.4,271
2022-11-17 15:33:58.386,25.3,34.4,270
2022-11-17 15:33:55.342,25.4,34.4,272
2022-11-17 15:33:52.299,25.4,34.4,271
2022-11-17 15:33:49.257,25.3,34.3,271
2022-11-17 15:33:46.213,25.4,34.3,270
2022-11-17 15:33:43.170,25.3,34.3,269
2022-11-17 15:33:40.126,25.3,34.2,269
2022-11-17 15:33:37.082,25.3,34.2,269
2022-11-17 15:33:34.038,25.3,34.2,269
2022-11-17 15:33:30.994,25.3,34.2,269
2022-11-17 15:33:27.951,25.3,34.2,270
2022-11-17 15:33:24.908,25.4,34.4,268
2022-11-17 15:33:21.865,25.4,34.4,265
2022-11-17 15:33:18.821,25.4,34.5,267
2022-11-17 15:33:15.777,25.4,34.6,267
2022-11-17 15:33:12.733,25.4,34.6,267
2022-11-17 15:33:09.690,25.4,34.5,267
2022-11-17 15:33:06.646,25.4,34.6,266
2022-11-17 15:33:03.603,25.3,34.6,266
2022-11-17 15:33:00.560,25.4,34.5,270
2022-11-17 15:32:57.517,25.4,34.5,270
2022-11-17 15:32:54.475,25.4,34.5,271
2022-11-17 15:32:51.431,25.4,34.4,271
2022-11-17 15:32:48.389,25.4,34.3,272
2022-11-17 15:32:45.346,25.4,34.4,271
2022-11-17 15:32:42.302,25.4,34.3,271
2022-11-17 15:32:39.259,25.4,34.3,271
2022-11-17 15:32:36.216,25.4,34.2,270
2022-11-17 15:32:33.173,25.4,34.3,270
2022-11-17 15:32:30.129,25.4,34.3,269
2022-11-17 15:32:27.086,25.4,34.3,269
2022-11-17 15:32:24.043,25.4,34.3,266
2022-11-17 15:32:21.001,25.4,34.4,266
2022-11-17 15:32:17.959,25.4,34.3,268
2022-11-17 15:32:14.915,25.4,34.3,270
2022-11-17 15:32:11.873,25.4,34.3,269
2022-11-17 15:32:08.830,25.4,34.3,269
2022-11-17 15:32:05.787,25.4,34.3,270
2022-11-17 15:32:02.744,25.4,34.3,269
2022-11-17 15:31:59.701,25.4,34.3,267
2022-11-17 15:31:56.657,25.4,34.3,267
2022-11-17 15:31:53.613,25.4,34.3,268
2022-11-17 15:31:50.570,25.4,34.3,268
2022-11-17 15:31:47.526,25.4,34.3,270
2022-11-17 15:31:44.483,25.4,34.4,270
2022-11-17 15:31:41.439,25.4,34.4,270
2022-11-17 15:31:38.395,25.4,34.4,269
2022-11-17 15:31:35.352,25.4,34.4,269
2022-11-17 15:31:32.309,25.4,34.4,270
2022-11-17 15:31:29.266,25.4,34.4,270
2022-11-17 15:31:26.223,25.4,34.4,268
2022-11-17 15:31:23.179,25.4,34.4,268
2022-11-17 15:31:20.134,25.4,34.4,270
2022-11-17 15:31:17.091,25.4,34.4,267
2022-11-17 15:31:14.048,25.4,34.4,267
2022-11-17 15:31:11.004,25.4,34.5,269
2022-11-17 15:31:07.961,25.4,34.5,267
2022-11-17 15:31:04.917,25.4,34.4,269
2022-11-17 15:31:01.873,25.4,34.5,269
2022-11-17 15:30:58.830,25.4,34.5,269
